trade_date,holding_month,security_id,action,trade_value_sek,price_sek,shares_delta,cost_bps,cost_sek,execution_date
2026-02-02,2026-02,BEIA-B.ST,buy,3320.06,3022.9816,1.098272,59.00,19.59,2026-02-02
2026-02-02,2026-02,BIOA-B.ST,buy,3320.06,323.0962,10.275751,40.25,13.36,2026-02-02
2026-02-02,2026-02,BOL.ST,buy,3320.06,1301.8579,2.550244,27.75,9.21,2026-02-02
2026-02-02,2026-02,DANSKE.CO,buy,3320.06,10606.5113,0.313021,52.75,17.51,2026-02-02
2026-02-02,2026-02,ISS.CO,buy,3320.06,425.8435,7.796422,52.75,17.51,2026-02-02
2026-02-02,2026-02,JYSK.CO,buy,3320.06,3343.9498,0.992854,52.75,17.51,2026-02-02
2026-02-02,2026-02,LUG.ST,buy,3320.06,746.5580,4.447150,27.75,9.21,2026-02-02
2026-02-02,2026-02,LUMI.ST,buy,3320.06,819.7470,4.050098,27.75,9.21,2026-02-02
2026-02-02,2026-02,NDA-SE.ST,buy,3320.06,763.7985,4.346769,27.75,9.21,2026-02-02
2026-02-02,2026-02,PAAL-B.CO,buy,3320.06,16390.9189,0.202555,65.25,21.66,2026-02-02
2026-02-02,2026-02,SAAB-B.ST,buy,3320.06,3281.4367,1.011769,27.75,9.21,2026-02-02
2026-02-02,2026-02,SAND.ST,buy,3320.06,3083.9186,1.076570,27.75,9.21,2026-02-02
2026-02-02,2026-02,SSAB-B.ST,buy,3320.06,595.0015,5.579912,27.75,9.21,2026-02-02
2026-02-02,2026-02,SWED-A.ST,buy,3320.06,1552.9610,2.137887,27.75,9.21,2026-02-02
2026-02-02,2026-02,VWS.CO,buy,3320.06,15320.6007,0.216705,52.75,17.51,2026-02-02
2026-03-02,2026-03,BEIA-B.ST,buy,362.97,2832.6030,0.128142,59.00,2.14,2026-03-02
2026-03-02,2026-03,BIOA-B.ST,sell,-3110.59,302.7115,-10.275751,40.25,12.52,2026-03-02
2026-03-02,2026-03,BOL.ST,sell,-561.89,1582.5297,-0.355061,27.75,1.56,2026-03-02
2026-03-02,2026-03,DANSKE.CO,buy,89.58,10811.9458,0.008285,52.75,0.47,2026-03-02
2026-03-02,2026-03,FLS.CO,buy,3473.94,1225.4239,2.834891,52.75,18.33,2026-03-02
2026-03-02,2026-03,ISS.CO,buy,366.94,398.5163,0.920768,52.75,1.94,2026-03-02
2026-03-02,2026-03,JYSK.CO,buy,51.10,3447.4719,0.014824,52.75,0.27,2026-03-02
2026-03-02,2026-03,LUG.ST,sell,-1076.33,1023.1896,-1.051941,27.75,2.99,2026-03-02
2026-03-02,2026-03,LUMI.ST,sell,-1004.27,1105.7052,-0.908263,27.75,2.79,2026-03-02
2026-03-02,2026-03,MAERSK-B.CO,buy,3473.94,871336.7747,0.003987,52.75,18.33,2026-03-02
2026-03-02,2026-03,NDA-SE.ST,sell,-3338.41,768.0209,-4.346769,27.75,9.26,2026-03-02
2026-03-02,2026-03,NKT.CO,buy,3473.94,1911.7517,1.817152,52.75,18.33,2026-03-02
2026-03-02,2026-03,PAAL-B.CO,buy,553.29,14419.0833,0.038372,65.25,3.61,2026-03-02
2026-03-02,2026-03,SAAB-B.ST,buy,170.86,3264.6579,0.052337,27.75,0.47,2026-03-02
2026-03-02,2026-03,SAND.ST,sell,-306.94,3511.9675,-0.087398,27.75,0.85,2026-03-02
2026-03-02,2026-03,SSAB-B.ST,sell,-3575.09,640.7069,-5.579912,27.75,9.92,2026-03-02
2026-03-02,2026-03,SWED-A.ST,buy,206.66,1528.2752,0.135226,27.75,0.57,2026-03-02
2026-03-02,2026-03,VWS.CO,buy,643.02,13063.4777,0.049223,52.75,3.39,2026-03-02
