ma_window,rank,candidate_id,median_validation_sharpe,overall_sharpe,max_drawdown,total_return,bootstrap_ci_low,deflated_sharpe_score,fold_pass_count,gate_bootstrap,gate_deflated_sharpe,gate_negative_controls,selected
12,1,l12_s1_n8_strat=trend_filter_ma12,1.2138728592054822,1.0255359215693491,0.23389201596312958,4.006402332218203,0.4458033488450383,0.15757131587435153,4,True,True,True,True
8,2,l12_s1_n8_strat=trend_filter_ma8,0.9889765670947734,1.0266650264034647,0.2338920159631298,4.478526914658001,0.5053428043729941,0.16428084028491846,5,True,True,True,False
9,3,l12_s1_n8_strat=trend_filter_ma9,0.9889765670947734,1.0581943752651475,0.23389201596312958,4.776554620926839,0.5370862527210931,0.17306198554569172,5,True,True,True,False
10,4,l12_s1_n8_strat=trend_filter_ma10,0.9889765670947734,1.0581943752651475,0.23389201596312958,4.776554620926839,0.5370862527210931,0.17306198554569172,5,True,True,True,False
11,5,l12_s1_n8_strat=trend_filter_ma11,0.9628261984749514,1.0316451179169448,0.23389201596312958,4.511684411674662,0.5080364873927783,0.16576043315098912,5,True,True,True,False
7,6,l12_s1_n8_strat=trend_filter_ma7,0.9628261984749514,0.9917479272185058,0.22920485283691105,3.52175540423828,0.39705387202640907,0.14883670463884144,4,True,True,True,False
6,7,l12_s1_n8_strat=trend_filter_ma6,0.7673407752387024,0.904183875528464,0.22920485283691083,2.704667808527877,0.30426117877335235,0.12137067605139493,4,True,True,True,False
13,8,l12_s1_n8_strat=trend_filter_ma13,0.8237992887357363,0.8825459222481193,0.22920485283691083,3.23348920889629,0.2516971718031703,0.10853661585117816,3,True,True,True,False
14,9,l12_s1_n8_strat=trend_filter_ma14,0.8237992887357363,0.8825459222481193,0.22920485283691083,3.23348920889629,0.2516971718031703,0.10853661585117816,3,True,True,True,False
15,10,l12_s1_n8_strat=trend_filter_ma15,0.8237992887357363,0.842692815796559,0.22802516844970044,2.8144128355453386,0.17659209262359282,0.09632284845634612,3,True,True,True,False
